model_name,max_context_size,is_model_max,memory_allocated,tokens_per_second,decode_tokens_per_second,total_duration,total_duration_human,search_algorithm,search_time,total_tries,precision_confidence
mistral-small3.1:24b-instruct-2503-q4_K_M,72112,False,50.4GiB,611.8228449729486,41.57753482638261,0.6096536,609 ms,pure_binary_max_first_g01,148.86,19,100.00%
mistral-small3.1:24b-instruct-2503-q8_0,43225,False,35.8GiB,,,,,pure_binary_max_first_g01,155.13,19,100.00%
mistral-small:24b-instruct-2501-q4_K_M,32768,True,21.0GiB,744.0913439769399,90.54741572016322,0.2365301,236 ms,pure_binary_max_first_g01,5.74,1,100.00%
mistral-small:24b-instruct-2501-q8_0,32768,True,34.4GiB,361.9659357148498,40.88129859444985,0.4862336,486 ms,pure_binary_max_first_g01,9.22,1,100.00%
nomic-embed-text:137m-v1.5-fp16,2048,True,809.9MiB,,,,,pure_binary_max_first_g01,5.79,1,100.00%
phi4-mini-reasoning:3.8b-fp16,131072,True,41.4GiB,81.4342988251084,77.73357328576927,2.8734821,2.87 s,pure_binary_max_first_g01,9.34,1,100.00%
phi4-mini:3.8b-fp16,131072,True,41.4GiB,75.40491212481201,76.42837185283048,2.6523471,2.65 s,pure_binary_max_first_g01,4.61,1,100.00%
phi4-reasoning:14b-fp16,32768,True,43.4GiB,47.689407009493046,32.86691120761287,15.768701,15.77 s,pure_binary_max_first_g01,10.97,1,100.00%
phi4-reasoning:14b-plus-fp16,32768,True,43.4GiB,55.487684474831006,32.99691191859002,10.4167259,10.42 s,pure_binary_max_first_g01,15.45,1,100.00%
phi4:14b-fp16,16384,True,36.0GiB,37.256532317007185,32.42571125437351,1.6641377,1.66 s,pure_binary_max_first_g01,15.43,1,100.00%
phi4:14b-q4_K_M,16384,True,14.1GiB,167.2579793764221,123.53113756736307,0.1494697,149 ms,pure_binary_max_first_g01,3.89,1,100.00%
qwen2.5-coder:1.5b-instruct-fp16,32768,True,5.1GiB,372.00430848626377,231.51296617306176,0.1182782,118 ms,pure_binary_max_first_g01,2.16,1,100.00%
qwen2.5-coder:3b-instruct-fp16,32768,True,8.6GiB,285.4445961769886,152.2379936554816,0.1541455,154 ms,pure_binary_max_first_g01,7.94,1,100.00%
qwen2.5-coder:7b-instruct-q8_0,32768,True,11.3GiB,242.05389329934312,137.041211718394,0.1817777,181 ms,pure_binary_max_first_g01,3.70,1,100.00%
qwen3:0.6b-fp16,40960,True,7.6GiB,360.6186790831312,378.9268405707556,0.4769581,476 ms,pure_binary_max_first_g01,1.69,1,100.00%
qwen3:1.7b-fp16,40960,True,9.7GiB,229.24252757048518,239.22269710775487,0.7982812,798 ms,pure_binary_max_first_g01,2.76,1,100.00%
qwen3:14b-fp16,40960,True,45.2GiB,33.658086182707706,32.53353564083532,7.1305302,7.13 s,pure_binary_max_first_g01,11.87,1,100.00%
qwen3:14b-q4_K_M,40960,True,20.5GiB,120.86194693081204,119.36525852664835,1.7788891,1.78 s,pure_binary_max_first_g01,9.00,1,100.00%
qwen3:30b-a3b-q4_K_M,40960,True,26.8GiB,151.32975172497,156.38874901806264,2.9075578,2.91 s,pure_binary_max_first_g01,11.98,1,100.00%
qwen3:30b-a3b-q8_0,40960,True,46.0GiB,39.93208077420964,42.735839129410714,4.9584193,4.96 s,pure_binary_max_first_g01,11.81,1,100.00%
qwen3:32b-q4_K_M,36526,False,52.9GiB,16.497101588689663,32.655351011683315,19.7004303,19.70 s,pure_binary_max_first_g01,177.45,18,100.00%
qwen3:4b-fp16,40960,True,17.7GiB,138.66920137158385,137.16565050202374,2.0624623,2.06 s,pure_binary_max_first_g01,8.66,1,100.00%
qwen3:8b-fp16,40960,True,24.4GiB,89.02599530344797,86.92731877223147,3.482129,3.48 s,pure_binary_max_first_g01,11.48,1,100.00%
qwen3:8b-q4_K_M,40960,True,14.6GiB,163.96544501376462,171.8323700595807,1.2990542,1.30 s,pure_binary_max_first_g01,2.60,1,100.00%
